date,type,totalLiquidityUSD
2019-02-03 00:00:00,"Lending, Borrowing & Real World Assets",0.21743480555671998
2019-02-03 00:00:00,Trading & Exchanges,0.00074819425575
2019-02-04 00:00:00,"Infrastructure, Services & Financial Products",0.0001923146258
2019-02-04 00:00:00,"Lending, Borrowing & Real World Assets",0.21746483871923
2019-02-04 00:00:00,Trading & Exchanges,0.00075471732122
2019-02-05 00:00:00,"Infrastructure, Services & Financial Products",0.00019202564692
2019-02-05 00:00:00,"Lending, Borrowing & Real World Assets",0.21679796262024997
2019-02-05 00:00:00,Trading & Exchanges,0.00076357869839
2019-02-06 00:00:00,"Infrastructure, Services & Financial Products",0.0001914803422
2019-02-06 00:00:00,"Lending, Borrowing & Real World Assets",0.21852236352625998
2019-02-06 00:00:00,Trading & Exchanges,0.0007901268816599999
2019-02-07 00:00:00,"Infrastructure, Services & Financial Products",0.00019152287106
2019-02-07 00:00:00,"Lending, Borrowing & Real World Assets",0.21099022540450002
2019-02-07 00:00:00,Trading & Exchanges,0.00084882363829
2019-02-08 00:00:00,"Infrastructure, Services & Financial Products",0.00019114814337000002
2019-02-08 00:00:00,"Lending, Borrowing & Real World Assets",0.21612566476609998
2019-02-08 00:00:00,Trading & Exchanges,0.00099246763586
2019-02-09 00:00:00,"Infrastructure, Services & Financial Products",0.00019252517001999998
2019-02-09 00:00:00,"Lending, Borrowing & Real World Assets",0.22089608424774
2019-02-09 00:00:00,Trading & Exchanges,0.0012007519818599999
2019-02-10 00:00:00,"Infrastructure, Services & Financial Products",0.00019241861396
2019-02-10 00:00:00,"Lending, Borrowing & Real World Assets",0.24651606077888
2019-02-10 00:00:00,Trading & Exchanges,0.0012971179246400002
2019-02-11 00:00:00,"Infrastructure, Services & Financial Products",0.00019186084030000002
2019-02-11 00:00:00,"Lending, Borrowing & Real World Assets",0.24314799720406
2019-02-11 00:00:00,Trading & Exchanges,0.0013907964008200002
2019-02-12 00:00:00,"Infrastructure, Services & Financial Products",0.00019228236330999998
2019-02-12 00:00:00,"Lending, Borrowing & Real World Assets",0.24905627469195
2019-02-12 00:00:00,Trading & Exchanges,0.00187803631385
2019-02-13 00:00:00,"Infrastructure, Services & Financial Products",0.00019240651601
2019-02-13 00:00:00,"Lending, Borrowing & Real World Assets",0.246891104068
2019-02-13 00:00:00,Trading & Exchanges,0.0019612332038
2019-02-14 00:00:00,"Infrastructure, Services & Financial Products",0.00019198714326000002
2019-02-14 00:00:00,"Lending, Borrowing & Real World Assets",0.25233011741982003
