user_address,timeStamp,stake_change,cumulative_stake,Year
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-18,4.957081554732058e+18,4.65479381117911e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-19,7.44697445842746e+18,4.7292635557633845e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-20,9.95243015247171e+18,4.828787857288101e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-21,3.1737402389685806e+18,4.860525259677787e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-22,7.330361093583987e+17,4.8678556207713714e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-23,3.718730344583971e+18,4.9050429242172106e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-24,7.235675610818213e+18,4.977399680325393e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-25,1.8430006166405165e+17,4.9792426809420336e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-26,6.848293177410109e+18,5.047725612716135e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-27,3.054496015533516e+18,5.0782705728714696e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-28,4.8394200041879e+18,5.1266647729133486e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-29,4.931916517969584e+18,5.175983938093045e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-30,1.300386599664942e+18,5.188987804089694e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-08-31,2.715347599079485e+19,5.460522563997642e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-01,5.225130477254473e+18,5.512773868770187e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-02,2.448395479553245e+18,5.53725782356572e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-03,5.056129403514796e+18,5.5878191176008676e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-04,9.436756706635254e+18,5.6821866846672205e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-05,1.1342526922607999e+19,5.7956119538933e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-06,1.9933743622024802e+19,5.994949390113549e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-07,1.5319352850838407e+19,6.148142918621932e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-08,3.9884960030464164e+18,6.188027878652396e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-09,2.646537537150547e+18,6.214493254023901e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-10,1.2891847202730977e+18,6.227385101226633e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-11,3.670582171914739e+18,6.26409092294578e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-12,1.8531872337217992e+18,6.282622795282999e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-13,5.893980594365304e+18,6.341562601226652e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-14,1.6473061410781604e+19,6.506293215334467e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-15,1.722960647870821e+19,6.678589280121549e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-16,9.951912869905295e+18,6.778108408820602e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-17,5.526259330399728e+18,6.833371002124599e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-18,9.898396972922046e+18,6.93235497185382e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-19,2.183449337704712e+18,6.954189465230867e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-21,1.0947105698189758e+19,7.063660522212765e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-22,8.96021258332433e+17,7.072620734796089e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-23,6.597760528531552e+18,7.138598340081405e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-24,4.2905347340521073e+18,7.181503687421926e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-25,2.4886165658770653e+19,7.430365344009632e+20,2021
